country,year,population,e_waste_generated_kt,eee_put_on_market_kt,e_waste_collection_rate,e_waste_formally_collected_kt,e_waste_imported_kt,e_waste_exported_kt,e_waste_generated_per_capita,eee_put_on_market_per_capita,temperature_exchange_equipment_kt,screens_kt,lamps_kt,large_equipment_kt,small_equipment_kt,small_it_kt,source_file,country_clean,iso3,gdp_per_capita,average_household_size,ewaste_management_collection_rate,ewaste_generated_kg_inh,eee_placed_on_market_kg_inh,ewaste_formally_collected_kg_inh,generated_ewaste_plastic_kg_inh,generated_bfrs_from_ewaste_kg_inh,value_x,value_y,category_x,share_value_x,category_y,share_value_y
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,large_equipment,0.28,small_equipment,0.2
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,large_equipment,0.28,small_it,0.05
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_equipment,0.26,temperature_exchange_equipment,0.22
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_equipment,0.26,screens_and_monitors,0.07
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_equipment,0.26,lamps,0.14
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_equipment,0.26,large_equipment,0.32
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_equipment,0.26,small_equipment,0.2
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_equipment,0.26,small_it,0.05
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_it,0.08,temperature_exchange_equipment,0.22
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv,argentina,ARG,23040.0,3.3,0.04,7.7,7.0,0.3,1.9,0.2,8.6,7.2,small_it,0.08,screens_and_monitors,0.07
